timestamp,File: reports\quality\dashboard.csv,coverage_lines_covered,coverage_lines_total,coverage_percent,tests_integration_cases,tests_integration_duration_seconds,tests_total_cases,tests_total_duration_seconds,tests_ui_cases,tests_ui_duration_seconds,tests_unit_cases,tests_unit_duration_seconds
,````````,,,,,,,,,,,
,timestamp,,,,,,,,,,,
,2025-10-30T12:30:45+00:00,,,,,,,,,,,
,2025-11-08T16:25:23.957445+00:00,,,,,,,,,,,
,2025-11-09T07:36:58.015362+00:00,,,,,,,,,,,
,2025-11-09T07:43:26.358372+00:00,,,,,,,,,,,
,2025-11-09T19:51:22.034413+00:00,,,,,,,,,,,
,2025-11-09T20:24:26.493224+00:00,,,,,,,,,,,
,2025-11-09T20:45:59.113588+00:00,,,,,,,,,,,
,2025-11-12T06:16:00.138848+00:00,,,,,,,,,,,
,2025-11-12T06:41:15.468411+00:00,,,,,,,,,,,
,2025-11-12T06:45:21.359242+00:00,,,,,,,,,,,
,2025-11-12T20:52:56.036011+00:00,,,,,,,,,,,
,2025-11-13T05:47:23.047731+00:00,,,,,,,,,,,
,2025-11-13T06:23:40.793949+00:00,,,,,,,,,,,
,2025-11-13T07:35:23.451185+00:00,,,,,,,,,,,
,2025-11-13T10:43:59.815299+00:00,,,,,,,,,,,
,2025-11-13T10:47:51.470620+00:00,,,,,,,,,,,
,2025-11-13T10:50:49.917183+00:00,,,,,,,,,,,
,2025-11-13T11:20:16.214398+00:00,,,,,,,,,,,
,2025-11-13T12:20:11.258402+00:00,,,,,,,,,,,
,2025-11-13T12:32:13.979845+00:00,,,,,,,,,,,
,2025-11-13T14:39:34.741663+00:00,,,,,,,,,,,
,2025-11-13T17:02:02.387186+00:00,,,,,,,,,,,
,2025-11-13T17:24:02.187051+00:00,,,,,,,,,,,
,2025-11-13T17:39:18.475188+00:00,,,,,,,,,,,
,2025-11-14T04:47:51.015200+00:00,,,,,,,,,,,
,2025-11-14T05:22:00.537791+00:00,,,,,,,,,,,
,2025-11-14T07:27:23.439595+00:00,,,,,,,,,,,
,2025-11-14T08:22:10.162253+00:00,,,,,,,,,,,
,2025-11-14T11:40:28.685799+00:00,,,,,,,,,,,
,2025-11-14T11:46:08.088603+00:00,,,,,,,,,,,
,2025-11-14T12:23:40.712007+00:00,,,,,,,,,,,
,2025-11-14T15:28:58.026247+00:00,,,,,,,,,,,
,2025-11-14T16:22:10.491867+00:00,,,,,,,,,,,
,2025-11-14T17:11:52.490598+00:00,,,,,,,,,,,
,2025-11-14T18:20:51.640541+00:00,,,,,,,,,,,
,2025-11-14T18:23:33.984118+00:00,,,,,,,,,,,
,2025-11-14T18:27:41.510101+00:00,,,,,,,,,,,
,2025-11-15T06:02:50.709944+00:00,,,,,,,,,,,
,2025-11-15T06:26:10.694102+00:00,,,,,,,,,,,
,2025-11-15T12:52:13.172283+00:00,,,,,,,,,,,
,2025-11-15T12:55:02.475076+00:00,,,,,,,,,,,
,2025-11-15T16:41:28.471822+00:00,,,,,,,,,,,
,2025-11-15T16:49:19.387110+00:00,,,,,,,,,,,
,2025-11-15T16:50:59.789459+00:00,,,,,,,,,,,
,2025-11-15T17:54:57.346054+00:00,,,,,,,,,,,
,2025-11-15T18:07:30.769209+00:00,,,,,,,,,,,
,2025-11-15T18:11:44.299647+00:00,,,,,,,,,,,
,2025-11-15T18:14:53.219847+00:00,,,,,,,,,,,
,2025-11-15T18:25:47.340996+00:00,,,,,,,,,,,
,2025-11-15T18:35:43.643823+00:00,,,,,,,,,,,
,2025-11-15T18:37:47.003436+00:00,,,,,,,,,,,
,2025-11-15T18:44:27.005441+00:00,,,,,,,,,,,
,2025-11-15T18:54:30.089179+00:00,,,,,,,,,,,
,2025-11-15T18:56:42.109804+00:00,,,,,,,,,,,
,2025-11-16T10:44:40.878277+00:00,,,,,,,,,,,
,2025-11-17T12:38:31.076806+00:00,,,,,,,,,,,
,2025-11-17T17:37:57.422439+00:00,,,,,,,,,,,
,2025-11-18T05:14:58.400789+00:00,,,,,,,,,,,
,2025-11-18T05:21:00.825225+00:00,,,,,,,,,,,
,2025-11-18T11:23:21.179601+00:00,,,,,,,,,,,
2025-11-18T16:17:55.027310+00:00,,,,,46,4.379,723,199.520,221,181.020,456,14.121
2025-11-18T17:55:20.298189+00:00,,,,,46,4.290,736,194.824,224,181.095,466,9.439
2025-11-19T08:46:43.524058+00:00,,17945,36252,49.50,48,5.510,757,201.899,224,181.095,485,15.294
2025-11-19T11:43:53.731112+00:00,,,,,48,5.510,757,201.899,224,181.095,485,15.294
2025-11-20T19:09:45.544667+00:00,,6702,35709,18.77,48,5.510,281,205.140,224,181.095,9,18.535
2025-11-20T19:14:22.109749+00:00,,6702,35709,18.77,48,5.510,281,200.872,224,181.095,9,14.267
2025-11-20T19:18:24.066036+00:00,,6724,35709,18.83,48,5.510,281,200.788,224,181.095,9,14.183
