2025-11-03T07:01:07 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | ======================================================================
2025-11-03T07:01:07 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | === START RUN: PneumoStabSim ===
2025-11-03T07:01:07 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | ======================================================================
2025-11-03T07:01:07 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Python version: 3.13.3 (main, Aug 28 2025, 21:56:01) [GCC 13.3.0]
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Platform: Linux-6.12.13-x86_64-with-glibc2.39
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Process ID: 5555
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Log file: /workspace/PneumoStabSim-Professional/logs/PneumoStabSim_20251103_070107.log
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Run log: /workspace/PneumoStabSim-Professional/logs/run.log
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Max log size: 10.0 MB
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Backup count: 5
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Timestamp: 2025-11-03T07:01:08.005103Z
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | PySide6 version: 6.10.0
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | NumPy version: 2.3.4
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | SciPy version: 1.16.2
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | ======================================================================
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | ============================================================
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | PneumoStabSim v4.9.5 - Application Started
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | ============================================================
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Python: 3.13
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Global error hooks enabled (JSON log: logs/errors/errors_20251103_070108.jsonl)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Qt: 6.10.0
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Platform: linux
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Backend: opengl
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Logging initialized successfully
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | QApplication created and configured
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Settings schema JSON parsed successfully
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | INFO     | PneumoStabSim | Settings file: /workspace/PneumoStabSim-Professional/config/app_settings.json [source=PROJECT]
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Settings schema validation passed
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Settings schema and structure validated
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: Loading backend software
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: [SimulationRoot] ⚠️ effects default for dof_focus_distance unavailable (defaults unavailable); using fallback 2.5
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🌐 PostEffects: resolved Desktop shader 'motion_blur_fallback.frag' -> 'motion_blur_fallback.frag'
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🌐 PostEffects: resolved Desktop shader 'motion_blur.frag' -> 'motion_blur.frag'
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🌐 PostEffects: resolved Desktop shader 'dof_fallback.frag' -> 'dof_fallback.frag'
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🌐 PostEffects: resolved Desktop shader 'dof.frag' -> 'dof.frag'
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🌐 PostEffects: resolved Desktop shader 'ssao_fallback.frag' -> 'ssao_fallback.frag'
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🌐 PostEffects: resolved Desktop shader 'ssao.frag' -> 'ssao.frag'
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🌐 PostEffects: resolved Desktop shader 'bloom_fallback.frag' -> 'bloom_fallback.frag'
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🌐 PostEffects: resolved Desktop shader 'bloom.frag' -> 'bloom.frag'
